count_desciption;size;FL;BR;WL;total
1 persoon;1;807101;268031;535166;1610298
2 personen;2;1817128;248870;919360;2985358
3 personen;3;1221483;191118;710514;2123115
4 personen;4;1442696;196284;747584;2386564
5 personen;5;617325;117255;364810;1099390
6 personen;6;211020;59064;136800;406884
7 personen;7;71015;26096;46284;143395
8 personen;8;28840;10744;18104;57688
9 personen;9;13329;4500;7047;24876
10 personen;10;6270;2110;3270;11650
11 personen of meer;11;9805;2567;2714;15086
