hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
39,31,7,4,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,33,4,2,NA,NA,NA,NA,NA,NA,NA,NA
40,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,51,23,22,NA,NA,NA,NA,NA,NA,NA,NA
48,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,46,21,17,16,NA,NA,NA,NA,NA,NA,NA
75,46,44,17,12,NA,NA,NA,NA,NA,NA,NA
26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,34,1,0,NA,NA,NA,NA,NA,NA,NA,NA
31,30,3,1,NA,NA,NA,NA,NA,NA,NA,NA
76,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,35,11,8,NA,NA,NA,NA,NA,NA,NA,NA
58,55,29,26,NA,NA,NA,NA,NA,NA,NA,NA
35,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,64,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,29,10,5,NA,NA,NA,NA,NA,NA,NA,NA
50,43,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,46,23,20,9,NA,NA,NA,NA,NA,NA,NA
52,44,18,16,13,NA,NA,NA,NA,NA,NA,NA
45,43,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,46,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,61,30,25,23,NA,NA,NA,NA,NA,NA,NA
52,48,32,27,NA,NA,NA,NA,NA,NA,NA,NA
44,42,18,15,NA,NA,NA,NA,NA,NA,NA,NA
42,41,11,9,NA,NA,NA,NA,NA,NA,NA,NA
40,39,14,11,NA,NA,NA,NA,NA,NA,NA,NA
52,49,25,23,NA,NA,NA,NA,NA,NA,NA,NA
53,48,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33,6,3,NA,NA,NA,NA,NA,NA,NA,NA
39,35,6,3,NA,NA,NA,NA,NA,NA,NA,NA
27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,17,14,13,NA,NA,NA,NA,NA,NA,NA
46,46,15,13,NA,NA,NA,NA,NA,NA,NA,NA
78,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,31,7,4,NA,NA,NA,NA,NA,NA,NA,NA
57,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA
29,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,48,14,12,NA,NA,NA,NA,NA,NA,NA,NA
77,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,37,9,7,NA,NA,NA,NA,NA,NA,NA,NA
52,50,35,32,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,45,18,16,14,13,NA,NA,NA,NA,NA,NA
53,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,38,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,51,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,39,10,7,NA,NA,NA,NA,NA,NA,NA,NA
47,45,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,32,5,3,NA,NA,NA,NA,NA,NA,NA,NA
46,46,18,16,11,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,52,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,42,8,4,NA,NA,NA,NA,NA,NA,NA,NA
72,42,18,11,NA,NA,NA,NA,NA,NA,NA,NA
36,32,8,7,NA,NA,NA,NA,NA,NA,NA,NA
69,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,39,15,11,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,35,5,3,NA,NA,NA,NA,NA,NA,NA,NA
23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,15,14,12,9,NA,NA,NA,NA,NA,NA
26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,57,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,54,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,40,12,11,8,NA,NA,NA,NA,NA,NA,NA
54,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,36,8,6,1,NA,NA,NA,NA,NA,NA,NA
38,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,43,17,15,NA,NA,NA,NA,NA,NA,NA,NA
46,44,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,26,8,6,4,NA,NA,NA,NA,NA,NA,NA
53,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,39,10,8,NA,NA,NA,NA,NA,NA,NA,NA
70,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,36,12,10,NA,NA,NA,NA,NA,NA,NA,NA
43,42,12,8,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,44,19,16,NA,NA,NA,NA,NA,NA,NA,NA
50,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,44,17,7,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,25,22,20,NA,NA,NA,NA,NA,NA,NA,NA
33,28,3,1,NA,NA,NA,NA,NA,NA,NA,NA
72,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,41,17,15,13,11,7,3,NA,NA,NA,NA
53,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,45,16,14,NA,NA,NA,NA,NA,NA,NA,NA
42,20,18,15,NA,NA,NA,NA,NA,NA,NA,NA
32,31,8,3,NA,NA,NA,NA,NA,NA,NA,NA
33,31,3,0,NA,NA,NA,NA,NA,NA,NA,NA
39,39,9,3,NA,NA,NA,NA,NA,NA,NA,NA
35,27,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,47,19,14,NA,NA,NA,NA,NA,NA,NA,NA
49,42,17,13,13,NA,NA,NA,NA,NA,NA,NA
48,47,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,51,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,43,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,43,26,20,13,NA,NA,NA,NA,NA,NA
43,41,16,12,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,35,9,8,6,NA,NA,NA,NA,NA,NA,NA
26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,41,16,14,NA,NA,NA,NA,NA,NA,NA,NA
59,57,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,51,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,30,4,1,NA,NA,NA,NA,NA,NA,NA,NA
37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,36,4,1,NA,NA,NA,NA,NA,NA,NA,NA
45,44,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,37,3,0,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,44,18,16,NA,NA,NA,NA,NA,NA,NA,NA
43,37,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,32,2,0,NA,NA,NA,NA,NA,NA,NA,NA
64,61,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,39,15,12,NA,NA,NA,NA,NA,NA,NA,NA
47,46,23,20,18,NA,NA,NA,NA,NA,NA,NA
28,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,50,18,15,NA,NA,NA,NA,NA,NA,NA,NA
70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,43,21,18,15,NA,NA,NA,NA,NA,NA,NA
54,47,16,13,10,6,NA,NA,NA,NA,NA,NA
32,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,30,4,2,NA,NA,NA,NA,NA,NA,NA,NA
43,41,22,20,17,15,NA,NA,NA,NA,NA,NA
40,16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,45,18,16,NA,NA,NA,NA,NA,NA,NA,NA
30,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,46,21,20,NA,NA,NA,NA,NA,NA,NA,NA
50,46,18,16,NA,NA,NA,NA,NA,NA,NA,NA
77,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,33,5,0,NA,NA,NA,NA,NA,NA,NA,NA
34,31,8,6,4,1,NA,NA,NA,NA,NA,NA
28,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33,2,0,NA,NA,NA,NA,NA,NA,NA,NA
26,26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,56,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,44,20,19,18,NA,NA,NA,NA,NA,NA,NA
37,34,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,21,20,18,NA,NA,NA,NA,NA,NA,NA,NA
44,42,16,12,NA,NA,NA,NA,NA,NA,NA,NA
27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,27,4,2,0,NA,NA,NA,NA,NA,NA,NA
49,45,24,21,17,12,NA,NA,NA,NA,NA,NA
39,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,40,18,17,17,14,NA,NA,NA,NA,NA,NA
41,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,21,19,16,NA,NA,NA,NA,NA,NA,NA,NA
71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,49,7,4,NA,NA,NA,NA,NA,NA,NA,NA
40,39,13,11,NA,NA,NA,NA,NA,NA,NA,NA
53,49,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,48,22,10,NA,NA,NA,NA,NA,NA,NA,NA
51,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,39,11,9,NA,NA,NA,NA,NA,NA,NA,NA
38,37,16,11,NA,NA,NA,NA,NA,NA,NA,NA
52,51,22,12,NA,NA,NA,NA,NA,NA,NA,NA
46,45,18,16,14,NA,NA,NA,NA,NA,NA,NA
52,52,21,20,NA,NA,NA,NA,NA,NA,NA,NA
51,45,21,19,16,NA,NA,NA,NA,NA,NA,NA
44,43,23,19,8,7,NA,NA,NA,NA,NA,NA
61,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,40,15,12,NA,NA,NA,NA,NA,NA,NA,NA
40,33,7,4,NA,NA,NA,NA,NA,NA,NA,NA
30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,32,12,7,NA,NA,NA,NA,NA,NA,NA,NA
61,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,46,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,38,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,28,3,1,NA,NA,NA,NA,NA,NA,NA,NA
34,32,6,4,0,NA,NA,NA,NA,NA,NA,NA
42,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,40,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,35,6,4,NA,NA,NA,NA,NA,NA,NA,NA
50,43,20,18,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,45,21,17,NA,NA,NA,NA,NA,NA,NA,NA
52,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,39,9,7,NA,NA,NA,NA,NA,NA,NA,NA
38,36,10,9,5,NA,NA,NA,NA,NA,NA,NA
48,38,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,51,27,25,NA,NA,NA,NA,NA,NA,NA,NA
36,35,13,11,1,1,NA,NA,NA,NA,NA,NA
42,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,50,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,46,23,21,NA,NA,NA,NA,NA,NA,NA,NA
77,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,43,19,13,7,NA,NA,NA,NA,NA,NA,NA
45,43,19,16,NA,NA,NA,NA,NA,NA,NA,NA
33,31,7,4,NA,NA,NA,NA,NA,NA,NA,NA
46,44,20,18,13,NA,NA,NA,NA,NA,NA,NA
69,69,65,38,8,6,NA,NA,NA,NA,NA,NA
50,47,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,50,28,26,25,17,NA,NA,NA,NA,NA,NA
