"id";"serial_num";"name";"zip_code";"city";"street";"adress";"size";"category";"grade";"age_class";"grade_1";"grade_2";"grade_3";"x_coord";"y_coord";"city_code"
37;"10413";"Vrije Basisschool";2610;"WILRIJK";"Valkenveld";NA;237;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
38;"10471";"Gemeentelijke Basisschool";2620;"HEMIKSEM";"Jan Sanderslaan";NA;109;"pre";-1;-1;0;0;0;148136.618;203501.215333333;11018
39;"10801";"Vrije Basisschool";2880;"BORNEM";"Victor Kegelsstraat";NA;67;"pre";-1;-1;0;0;0;140919.533103448;197684.458965517;12007
40;"12187";"Vrije Basisschool";3150;"TILDONK";"Kruineikestraat";NA;88;"pre";-1;-1;0;0;0;169328.675416667;183431.112916667;24033
41;"12385";"Vrije Basisschool";3001;"HEVERLEE";"Doleegstraat";NA;56;"pre";-1;-1;0;0;0;173955.434285714;174816.886386555;24062
42;"12526";"Gemeentelijke Basisschool - t Zonneveld";3060;"BERTEM";"A.E. Verbiststraat";NA;88;"pre";-1;-1;0;0;0;166967.832941176;171521.706470588;24009
43;"17202";"Vrije Basisschool";8755;"RUISELEDE";"Pensionaatstraat";NA;139;"pre";-1;-1;0;0;0;80535.8963636364;194866.200909091;37012
44;"13731";"Vrije Basisschool";3440;"ZOUTLEEUW";"Stationsstraat";NA;125;"pre";-1;-1;0;0;0;201510.312;170093.396666667;24130
45;"13896";"Vrije Basisschool - Triangel";3500;"HASSELT";"Bakkerslaan";NA;50;"pre";-1;-1;0;0;0;216594.847311828;180929.301397849;71022
46;"14209";"Vrije Basisschool - Boekt";3550;"ZOLDER";"Reitveld";NA;116;"pre";-1;-1;0;0;0;214687.127142857;190344.580612245;71070
47;"14571";"Vrije Kleuterschool";3930;"HAMONT-ACHEL";"Vloedstraat";NA;47;"pre";-1;-1;0;0;0;229590.483888889;216921.198333333;72037
48;"14696";"Vrije Basisschool";3600;"GENK";"Kuurstraat";NA;85;"pre";-1;-1;0;0;0;229412.180566038;185199.582830189;71016
49;"14861";"Vrije Basisschool";3600;"GENK";"Schabartstraat";NA;156;"pre";-1;-1;0;0;0;229412.180566038;185199.582830189;71016
50;"15347";"Vrije KLeuterschool - De Beverburcht";3680;"MAASEIK";"Kapelweg";NA;122;"pre";-1;-1;0;0;0;245103.776590909;198427.845909091;72021
51;"15354";"Gemeentelijke Basisschool";3640;"KINROOI";"Nelisveld";NA;120;"pre";-1;-1;0;0;0;248234.176363636;204923.240454545;72018
52;"15446";"Vrije Basisschool - Kadee Tongerlo";3960;"BREE";"Bosstraat";NA;63;"pre";-1;-1;0;0;0;237274.534;203846.729666667;72004
53;"15537";"Vrije Basisschool - Sint-Lutgart";3700;"TONGEREN";"Beemdstraat";NA;114;"pre";-1;-1;0;0;0;227636.1315;163850.988;73083
54;"16386";"Vrije Basisschool - Sint-Jan";3920;"LOMMEL";"Gelderhorsten";NA;16;"pre";-1;-1;0;0;0;215584.866521739;213228.075217391;72020
55;"16411";"Vrije Kleuterschool - De Speling";3920;"LOMMEL";"Kloosterstraat";NA;120;"pre";-1;-1;0;0;0;215584.866521739;213228.075217391;72020
56;"16832";"Vrije Basisschool - Meerlaar";2430;"LAAKDAL";"Meerlaarstraat";NA;116;"pre";-1;-1;0;0;0;195401.957;197111.7;13053
57;"21683";"Vrije Basisschool";9160;"LOKEREN";"Heiendestraat";NA;96;"pre";-1;-1;0;0;0;122510.028035714;199864.539285714;46014
58;"21758";"Vrije Basisschool";9160;"EKSAARDE";"Doorslaardorp";NA;88;"pre";-1;-1;0;0;0;122510.028035714;199864.539285714;46014
59;"17772";"Gemeentelijke Basisschool";8480;"ICHTEGEM";"Engelstraat";NA;58;"pre";-1;-1;0;0;0;56106.3633333333;200925.557407407;35006
60;"17781";"Vrije Basisschool";8211;"AARTRIJKE";"P. Mervilliestraat";NA;135;"pre";-1;-1;0;0;0;64392.9507142857;203055.423928571;31040
61;"15438";"Vrije Basisschool - De Wissel";3960;"OPITTER";"Opitterkiezel";NA;95;"pre";-1;-1;0;0;0;237274.534;203846.729666667;72004
62;"115642";"Vrije Kleuterschool";8310;"SINT-KRUIS";"Fortuinstraat";NA;180;"pre";-1;-1;0;0;0;69817.3656589147;213393.638217054;31005
63;"18499";"Vrije Basisschool";8670;"KOKSIJDE";"Helvetiastraat";NA;58;"pre";-1;-1;0;0;0;31009.3922580645;201883.673548387;38014
64;"19083";"Vrije Basisschool";8930;"MENEN";"St. Jansmolenstraat";NA;63;"pre";-1;-1;0;0;0;64045.2977358491;165195.991886792;34027
65;"19364";"Gemeentelijke Basisschool";8980;"ZONNEBEKE";"Berten Pilstraat";NA;54;"pre";-1;-1;0;0;0;53711.7846153846;173419.189615385;33037
66;"19737";"Vrije Basisschool-De Wingerd-";8531;"BAVIKHOVE";"Bruyelstraat";NA;122;"pre";-1;-1;0;0;0;75394.1206060606;172591.096363636;34013
67;"19761";"Vrije Basisschool";8770;"INGELMUNSTER";"Oostrozebekestraat";NA;47;"pre";-1;-1;0;0;0;72003.9275;179244.0025;36007
68;"19968";"Vrije Basisschool Arkorum 11-Vikingschool";8800;"ROESELARE";"Vikingstraat";NA;104;"pre";-1;-1;0;0;0;30987.3375;186461.2235;38002
69;"20503";"Vrije Basisschool";8920;"LANGEMARK-POELKAPELLE";"Zonnebekestraat";NA;99;"pre";-1;-1;0;0;0;48756.3722222222;179951.09;33040
70;"20602";"Vrije Basisschool";8958;"LOKER";"Petruswegel";NA;27;"pre";-1;-1;0;0;0;40430.3544;164047.2;33039
71;"22715";"Vrije Kleuterschool";9300;"AALST";"Gentse steenweg";NA;119;"pre";-1;-1;0;0;0;128174.046343284;181620.291791045;41002
72;"12691";"Vrije Basisschool";2220;"HALLAAR";"L. Carr_straat";NA;85;"pre";-1;-1;0;0;0;175518.670701754;195150.97122807;12014
73;"22475";"Vrije Basisschool";9090;"MELLE";"Tuinstraat";NA;151;"pre";-1;-1;0;0;0;109899.527333333;187743.828666667;44040
74;"22947";"Gemeentelijke Basisschool - Schoonaarde-Oudegem";9200;"OUDEGEM";"Ouburg";NA;57;"pre";-1;-1;0;0;0;130866.578484848;190861.564393939;42006
75;"22947";"Gemeentelijke Basisschool - Schoonaarde-Oudegem";9200;"SCHOONAARDE";"Klinkaertstraat";NA;70;"pre";-1;-1;0;0;0;130866.578484848;190861.564393939;42006
76;"12021";"Vrije Basisschool - De Pepel";1880;"KAPELLE-OP-DEN-BOS";"Mechelseweg";NA;108;"pre";-1;-1;0;0;0;149185.049473684;188802.220526316;23039
77;"6361";"Vrije Basisschool";2018;"ANTWERPEN";"Isabellalei";NA;100;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
78;"23366";"Vrije Basisschool";9320;"EREMBODEGEM";"Dom Modest Van Asschelaan";NA;45;"pre";-1;-1;0;0;0;128174.046343284;181620.291791045;41002
79;"23499";"Gemeentelijke Basisschool";9473;"WELLE";"Welleplein";NA;98;"pre";-1;-1;0;0;0;128283.787142857;175258.726071429;41011
80;"23499";"Gemeentelijke Basisschool";9472;"IDDERGEM";"Leliestraat";NA;91;"pre";-1;-1;0;0;0;128283.787142857;175258.726071429;41011
81;"23564";"Vrije Basisschool";9500;"GERAARDSBERGEN";"Kloosterstraat";NA;57;"pre";-1;-1;0;0;0;117137.535957447;163333.473617021;41018
82;"23655";"Gemeentelijke Basisschool";9420;"BURST";"Molenveld";NA;78;"pre";-1;-1;0;0;0;120906.796271186;179497.04559322;41082
83;"20859";"Gemeentelijke Basisschool - De Triangel";9000;"GENT";"Kartuizerlaan";NA;84;"pre";-1;-1;0;0;0;104006.249509804;194241.032941176;44021
84;"4416";"Vrije Basisschool";1160;"OUDERGEM";"Zandgroeflaan";NA;79;"pre";-1;-1;0;0;0;153899.202222222;167310.039722222;21002
85;"3947";"Vrije Basisschool";1070;"ANDERLECHT";"Itterbeekse Laan";NA;63;"pre";-1;-1;0;0;0;145277.028607595;169198.623037975;21001
86;"23952";"Vrije Basisschool";9620;"ZOTTEGEM";"Sint-Andriessteenweg";NA;22;"pre";-1;-1;0;0;0;110820.225737705;173377.799344262;41081
87;"23978";"Vrije Basisschool";9630;"MUNKZWALM";"Decoenestraat";NA;86;"pre";-1;-1;0;0;0;104574.903125;174456.0271875;45065
88;"8151";"Vrije Basisschool";2150;"BORSBEEK";"de Robianostraat";NA;161;"pre";-1;-1;0;0;0;158373.267142857;209240.251428571;11007
89;"17211";"Vrije Basisschool";8755;"RUISELEDE";"Brandstraat";NA;29;"pre";-1;-1;0;0;0;80535.8963636364;194866.200909091;37012
90;"13541";"Vrije Basisschool";3350;"DRIESLINTER";"Grote Steenweg";NA;34;"pre";-1;-1;0;0;0;197530.525;167667.92;24133
91;"24265";"Vrije Basisschool";9052;"ZWIJNAARDE";"Hutsepotstraat";NA;162;"pre";-1;-1;0;0;0;104006.249509804;194241.032941176;44021
92;"24307";"Gemeentelijke Basisschool";9810;"NAZARETH";"Drapstraat";NA;74;"pre";-1;-1;0;0;0;97318.3094444444;183217.622222222;44048
93;"24307";"Gemeentelijke Basisschool";9810;"EKE";"Steenweg";NA;102;"pre";-1;-1;0;0;0;97318.3094444444;183217.622222222;44048
