"city_id","city_name","province","population","x_coord","y_coord","latitude","longitude"
11001,"AARTSELAAR",1,0.00129127190047392,150964.395333333,202431.664,51.1340539,4.3844742
11002,"ANTWERPEN",1,0.0422577299818809,153104.586028369,212271.710070922,51.2165845003546,4.41354548865248
11004,"BOECHOUT",1,0.00114804074652391,159954.505,206256.5035,51.16082405,4.51038522
11005,"BOOM",1,0.00140241301446791,150360.4,198115.397222222,51.08608,4.36633
11007,"BORSBEEK",1,0.0010398738313551,158373.267142857,209240.251428571,51.1966684,4.4856299
11008,"BRASSCHAAT",1,0.00363744516320916,158918.819827586,221748.327413793,51.29227,4.49419
11009,"BRECHT",1,0.00254012233349378,168070.150125,224780.0715,51.3495775,4.6376322
11013,"EDEGEM",1,0.00208585259714086,154685.668,205393.024666667,51.1559541,4.4318937
11016,"ESSEN ",1,0.0016364355009764,156460.2596,237847.8004,51.38298,4.47518
11018,"HEMIKSEM",1,0.000887093933808422,148198.769285714,203536.623571429,51.14518,4.33834
11021,"HOVE",1,0.000788788835796831,157610.123333333,204366.294444444,51.1540043,4.4711513
11022,"KALMTHOUT ",1,0.00168417921895973,157904.470588235,231315.796176471,51.38298,4.47518
11023,"KAPELLEN",1,0.00246968078237083,154487.6576,224119.3344,51.3140004,4.4324004
11024,"KONTICH",1,0.0019446564213344,155592.424827586,201594.393448276,51.1300355655172,4.4466770862069
11025,"LINT",1,0.000776422430155245,159097.005555556,201935.016666667,51.1272719,4.4967604
11029,"MORTSEL",1,0.00228183664604295,156009.792380952,207196.811904762,51.1691158,4.4662486
11030,"NIEL",1,0.000796302601249946,147481.69,199869.634285714,51.11064,4.33207
11035,"RANST",1,0.00174867237243231,165219.225142857,208999.295714286,51.1887110371429,4.59022609142857
11037,"RUMST",1,0.00141697093503332,153073.82,198210.017826087,51.090113626087,4.41347080869565
11038,"SCHELLE",1,0.00074715005224415,148445.176666667,201304.416666667,51.1269186,4.3388412
11039,"SCHILDE",1,0.00188110248854346,164830.49625,215797.55375,51.2481301333333,4.5759354
11040,"SCHOTEN",1,0.00312243915611022,159116.704027778,216452.039722222,51.2497532,4.4977063
11044,"STABROEK",1,0.00184165521991461,151340.993235294,224221.246764706,51.3229754411765,4.38529379411765
11050,"WIJNEGEM",1,0.000807103639088799,160418.273846154,213067.75,51.2298182,4.5108974
11052,"WOMMELGEM",1,0.00115351953383347,160133.67575,210635.344,51.2021676,4.5219648
11053,"WUUSTWEZEL",1,0.00175994302061198,165472.553285714,230754.345857143,51.3918731628571,4.60460126857143
11054,"ZANDHOVEN",1,0.00121973459188905,171240.356451613,210798.587741935,51.2061349806452,4.67296063548387
11055,"ZOERSEL",1,0.00203748273203643,170230.605,216710.912692308,51.2551742846154,4.660247
11056,"ZWIJNDRECHT",1,0.00174914198277313,147413.726590909,211497.378181818,51.2111991272727,4.33681802272727
11057,"MALLE-WESTMALLE",1,0.00141540556723059,173766.162083333,220855.247083333,51.2989753,4.71400875
12002,"BERLAAR",1,0.000995417385757501,170183.21375,199770.38625,51.11804,4.65752
12005,"BONHEIDEN",1,0.00134825128849337,163812.0405,190191.099,51.022196545,4.54803189
12007,"BORNEM-BORMEM",1,0.00197596377738904,140919.533103448,197684.458965517,51.0960068310345,4.23910036551724
12009,"DUFFEL",1,0.0015738207888671,159562.417368421,198297.200526316,51.09539,4.5052
12014,"HEIST-OP-DEN-BERG",1,0.00376799683795704,175485.751727273,195142.910181818,51.0751658363636,4.72976478181818
12021,"LIER",1,0.00313183136292661,164122.030606061,202178.86969697,51.1302163606061,4.57150510909091
12025,"MECHELEN",1,0.00715936618257667,157133.004734043,190719.186808511,51.0253457489362,4.47459442765958
12026,"NIJLEN",1,0.00206127632263796,170161.91375,204679.688,51.161359085,4.67056163
12029,"PUTTE",1,0.00152795551224705,168321.421818182,193384.040454545,51.0547257,4.6286791
12030,"PUURS",1,0.00154251343281246,145766.049285714,195576.441428571,51.0660142971429,4.31838657142857
12034,"SINT-AMANDS",1,0.000728209101831089,140363.067222222,193587.940555556,51.0559173,4.2216529
12035,"SINT",1,0.00182772344647029,160949.1434,194566.7006,51.068052052,4.544615732
12040,"WILLEBROEK",1,0.00215222419197671,149512.518235294,193678.293235294,51.0549093352941,4.35449356176471
13001,"ARENDONK ",1,0.00119562792772697,200265.820714286,223593.327142857,51.322049,5.0863348
13002,"BAARLE-HERTOG",1,0.000215864219996791,188246.127602339,235450.818913255,51.441832,4.931736
13003,"BALEN",1,0.0019797206601156,206348.938285714,206025.960571429,51.1643076485714,5.16314632571429
13004,"BEERSE",1,0.00162422563211509,181984.558,222925.8025,51.31501988,4.84026508
13006,"DESSEL",1,0.000862361122525251,202306.173076923,214920.894615385,51.23985,5.11269
13008,"GEEL",1,0.0034652547049086,192976.39754717,204923.660566038,51.1414208867925,4.91406741320755
13010,"GROBBENDONK",1,0.00107008542994783,176066.145238095,207526.172380952,51.1843208285714,4.73956748571429
13011,"HERENTALS",1,0.00256454207121641,182261.408181818,206326.053030303,51.1643319787879,4.83547916969697
13012,"HERENTHOUT",1,0.000856569261655142,178069.888333333,203598.811666667,51.1394506,4.7564892
13013,"HERSELT",1,0.00136312228261933,185479.861176471,193018.376470588,51.0523683235294,4.880688
13014,"HOOGSTRATEN",1,0.00181144362132187,177723.850128205,236286.371538462,51.4167736615385,4.77053884871795
13016,"HULSHOUT",1,0.000892729257898259,181190.1955,194518.243,51.07468686,4.79178604
13017,"KASTERLEE",1,0.0017785708974645,190260.79425,214726.58225,51.233684625,4.937155015
