"city_depart","city_arrival","proportion"
11002,11002,0.950604405058935
11002,21001,0.00248429837391379
11002,21004,0.026423900886174
11002,21009,0.0036457885227566
11002,21015,0.00453841521121913
11002,24062,0.00473199690269294
11002,31005,0.00052697238234535
11002,41002,0.00052697238234535
11002,44021,0.00600103243568786
11002,52011,0.000182827153058591
11002,53053,0.000107545384152112
11002,62063,0.000150563537812957
11002,92094,7.52817689064785e-05
21001,11002,0.00665612779765372
21001,21001,0.472668275230884
21001,21004,0.372077543888843
21001,21009,0.0847824278226142
21001,21015,0.0470089025709294
21001,24062,0.0023296447291788
21001,31005,0.000249604792412014
21001,41002,0.000998419169648057
21001,44021,0.00241284632664947
21001,52011,0.00482569265329894
21001,53053,0.00282885431400283
21001,62063,0.00124802396206007
21001,92094,0.00191363674182544
21004,11002,0.0121249805689414
21004,21001,0.0671537385356754
21004,21004,0.714648427379657
21004,21009,0.105497694181046
21004,21015,0.0732680449764237
21004,24062,0.00896419503601223
21004,31005,0.000880874656717965
21004,41002,0.00196901393854604
21004,44021,0.00331623400176175
21004,52011,0.00455982175242241
21004,53053,0.0022799108762112
21004,62063,0.0022799108762112
21004,92094,0.00305715322037411
21009,11002,0.00680328548908985
21009,21001,0.0471251970463785
21009,21004,0.469509665643408
21009,21009,0.395586161121712
21009,21015,0.051854310130258
21009,24062,0.00613955031942255
21009,31005,0.000331867584833651
21009,41002,0.000497801377250477
21009,44021,0.00232307309383556
21009,52011,0.0083796565170497
21009,53053,0.00282087447108604
21009,62063,0.00215713930141873
21009,92094,0.0064714179042562
21015,11002,0.0133911293443765
21015,21001,0.0616146760585185
21015,21004,0.450654075392832
21015,21009,0.116959516990479
21015,21015,0.327502128647728
21015,24062,0.00789534793714684
21015,31005,0.000541837603529685
21015,41002,0.00185772892638749
21015,44021,0.00379286322470779
21015,52011,0.00565059215109529
21015,53053,0.00278659338958124
21015,62063,0.00278659338958124
21015,92094,0.00456691694403592
24062,11002,0.0261075268817204
24062,21001,0.0113548387096774
24062,21004,0.143870967741935
24062,21009,0.0152688172043011
24062,21015,0.0253763440860215
24062,24062,0.770064516129032
24062,31005,0.000989247311827957
24062,41002,0.00103225806451613
24062,44021,0.0036989247311828
24062,52011,0.000516129032258065
24062,53053,0.00043010752688172
24062,62063,0.000860215053763441
24062,92094,0.00043010752688172
31005,11002,0.00759019859286729
31005,21001,0.00176758049422937
31005,21004,0.0317817904550653
31005,21009,0.00249540775655911
31005,21015,0.00450559733823173
31005,24062,0.00211416490486258
31005,31005,0.906214258482653
31005,41002,0.00128236231934288
31005,44021,0.042006030568745
31005,52011,0.000103975323189963
31005,53053,3.4658441063321e-05
31005,62063,6.93168821266419e-05
31005,92094,3.4658441063321e-05
41002,11002,0.0120928640693628
41002,21001,0.0182533797273401
41002,21004,0.17483315270093
41002,21009,0.0176829616108608
41002,21015,0.0190519650904113
41002,24062,0.00416405225029947
41002,31005,0.00239575608921339
41002,41002,0.688893959272146
41002,44021,0.0621755746962524
41002,52011,0.000171125434943814
41002,53053,0.000114083623295876
41002,62063,0.000114083623295876
41002,92094,5.70418116479379e-05
44021,11002,0.0246559732030319
44021,21001,0.00545608370599306
44021,21004,0.0562874458276499
44021,21009,0.00543881761831587
44021,21015,0.00775247336705976
44021,24062,0.00298703316815443
44021,31005,0.0102042578172212
44021,41002,0.00927188908265276
44021,44021,0.877548906193346
44021,52011,8.63304383859661e-05
44021,53053,0.000189926964449125
44021,62063,3.45321753543864e-05
44021,92094,8.63304383859661e-05
52011,11002,0.00102838338132456
52011,21001,0.0101809954751131
52011,21004,0.0475455916632387
52011,21009,0.00826134649664062
52011,21015,0.00623885918003565
52011,24062,0.000479912244618127
52011,31005,0.000479912244618127
52011,41002,0.00017139723022076
52011,44021,0.000205676676264912
52011,52011,0.894796380090498
52011,53053,0.0100438776909365
52011,62063,0.00154257507198684
52011,92094,0.0190250925545043
53053,11002,0.00127426729630462
53053,21001,0.0155160782550034
53053,21004,0.0781050895734952
53053,21009,0.0114684056667416
53053,21015,0.00996926767108912
53053,24062,0.00074956899782625
53053,31005,0.00074956899782625
53053,41002,0.000224870699347875
53053,44021,0.000824525897608875
53053,52011,0.0472228468630537
53053,53053,0.822277190615396
53053,62063,0.00187392249456562
53053,92094,0.00974439697174125
62063,11002,0.00103930811773876
62063,21001,0.00315504250027839
62063,21004,0.0406814891800601
62063,21009,0.00478824097101073
62063,21015,0.00579043094168739
62063,24062,0.00174455291191864
62063,31005,0.000259827029434691
62063,41002,0.000111354441186296
62063,44021,0.000371181470620987
62063,52011,0.0054192494710664
62063,53053,0.000408299617683085
62063,62063,0.919268030139935
62063,92094,0.0169629932073791
92094,11002,0.000755929320608523
92094,21001,0.00604743456486819
92094,21004,0.076632334876689
92094,21009,0.012992535197959
92094,21015,0.00812624019654162
92094,24062,0.00141736747614098
92094,31005,0.000377964660304262
92094,44021,0.000377964660304262
92094,52011,0.0321269961258622
92094,53053,0.0021732967967495
92094,62063,0.0120003779646603
92094,92094,0.846971558159312
