Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.05     0.00   299307     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~basic_ptree()
  0.00      1.05     0.00   299301     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::basic_ptree(boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      1.05     0.00   265726     0.00     0.00  stride::util::ConfigInfo::NumberAvailableThreads()
  0.00      1.05     0.00   250992     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > stride::util::CSVRow::GetValue<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(unsigned long) const
  0.00      1.05     0.00   230095     0.00     0.00  stride::ContactPool::ContactPool(unsigned long, stride::ContactType::Id)
  0.00      1.05     0.00   224519     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > std::__find_if<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_pred<boost::algorithm::detail::is_any_ofF<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__ops::_Iter_pred<boost::algorithm::detail::is_any_ofF<char> >, std::random_access_iterator_tag)
  0.00      1.05     0.00   221329     0.00     0.00  geopop::GeoGrid::CreateContactPool(stride::ContactType::Id)
  0.00      1.05     0.00   221329     0.00     0.00  stride::Population::CreateContactPool(stride::ContactType::Id)
  0.00      1.05     0.00   201679     0.00     0.00  geopop::Household::Fill(geopop::GeoGridConfig const&, std::shared_ptr<geopop::GeoGrid> const&)
  0.00      1.05     0.00   197790     0.00     0.00  void std::shuffle<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::specific_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&)
  0.00      1.05     0.00   121734     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      1.05     0.00   113112     0.00     0.00  boost::algorithm::detail::is_any_ofF<char>::is_any_ofF(boost::algorithm::detail::is_any_ofF<char> const&)
  0.00      1.05     0.00   109436     0.00     0.00  geopop::kd::Node<geopop::geogrid_detail::KdTree2DPoint, 0ul>::BorrowSplitChild(geopop::geogrid_detail::KdTree2DPoint const&) const
  0.00      1.05     0.00   108361     0.00     0.00  geopop::geogrid_detail::KdTree2DPoint::InBox(geopop::AABBox<geopop::geogrid_detail::KdTree2DPoint> const&) const
  0.00      1.05     0.00   105889     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      1.05     0.00    99772     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::basic_ptree()
  0.00      1.05     0.00    99765     0.00     0.00  boost::multi_index::detail::ordered_index_node_impl<boost::multi_index::detail::null_augment_policy, std::allocator<char> >::rebalance(boost::multi_index::detail::ordered_index_node_impl<boost::multi_index::detail::null_augment_policy, std::allocator<char> >*, boost::multi_index::detail::ordered_index_node_compressed_base<boost::multi_index::detail::null_augment_policy, std::allocator<char> >::parent_ref)
  0.00      1.05     0.00    99738     0.00     0.00  boost::property_tree::detail::rapidxml::xml_node<char>* boost::property_tree::detail::rapidxml::xml_document<char>::parse_node<3136>(char*&)
  0.00      1.05     0.00    99737     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::~pair()
  0.00      1.05     0.00    99736     0.00     0.00  boost::property_tree::detail::rapidxml::xml_node<char>* boost::property_tree::detail::rapidxml::xml_document<char>::parse_element<3136>(char*&)
  0.00      1.05     0.00    99736     0.00     0.00  void boost::property_tree::detail::rapidxml::xml_document<char>::parse_node_contents<3136>(char*&, boost::property_tree::detail::rapidxml::xml_node<char>*)
  0.00      1.05     0.00    96865     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      1.05     0.00    84834     0.00     0.00  boost::detail::function::functor_manager<boost::algorithm::detail::token_finderF<boost::algorithm::detail::is_any_ofF<char> > >::manage(boost::detail::function::function_buffer const&, boost::detail::function::function_buffer&, boost::detail::function::functor_manager_operation_type)
  0.00      1.05     0.00    84771     0.00     0.00  geopop::kd::Node<geopop::geogrid_detail::KdTree2DPoint, 1ul>::GetPoint() const
  0.00      1.05     0.00    75408     0.00     0.00  boost::algorithm::split_iterator<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::split_iterator(boost::algorithm::split_iterator<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      1.05     0.00    66210     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long)
  0.00      1.05     0.00    60184     0.00     0.00  geopop::geogrid_detail::KdTree2DPoint::InRadius(geopop::geogrid_detail::KdTree2DPoint const&, double) const
  0.00      1.05     0.00    60184     0.00     0.00  std::_Function_handler<bool (geopop::geogrid_detail::KdTree2DPoint const&), geopop::GeoAggregator<geopop::RadiusPolicy>::operator()<geopop::Collector<std::back_insert_iterator<std::vector<std::shared_ptr<geopop::Location>, std::allocator<std::shared_ptr<geopop::Location> > > >, std::shared_ptr<geopop::Location> > >(geopop::Collector<std::back_insert_iterator<std::vector<std::shared_ptr<geopop::Location>, std::allocator<std::shared_ptr<geopop::Location> > > >, std::shared_ptr<geopop::Location> >)::{lambda(geopop::geogrid_detail::KdTree2DPoint const&)#1}>::_M_invoke(std::_Any_data const&, geopop::geogrid_detail::KdTree2DPoint const&)
  0.00      1.05     0.00    40872     0.00     0.00  geopop::Location::AddIncomingCommutingLocation(std::shared_ptr<geopop::Location>, double)
  0.00      1.05     0.00    40872     0.00     0.00  geopop::Location::AddOutgoingCommutingLocation(std::shared_ptr<geopop::Location>, double)
  0.00      1.05     0.00    40085     0.00     0.00  boost::property_tree::string_path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::property_tree::id_translator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::reduce()
  0.00      1.05     0.00    39958     0.00     0.00  boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::get_child(boost::property_tree::string_path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::property_tree::id_translator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      1.05     0.00    39958     0.00     0.00  __tcf_0
